Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,General Government,County Administrator's Office,County Administrator's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,245930.00,245930.00
2014,General Government,County Administrator's Office,County Administrator's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,254302.00,271281.00
2015,General Government,County Administrator's Office,County Administrator's Office,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,314302.00,314302.00
2015,General Government,County Administrator's Office,County Administrator's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,533939.00,559999.00
2014,General Government,County Administrator's Office,County Administrator's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,559488.00,559488.00
2013,General Government,County Administrator's Office,County Administrator's Office,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,587159.00,587159.00
2013,General Government,County Administrator's Office,County Administrator's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3912042.00,3912042.00
2014,General Government,County Administrator's Office,County Administrator's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4013526.00,3996547.00
2015,General Government,County Administrator's Office,County Administrator's Office,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4203664.00,4203664.00
2015,General Government,County Counsel,County Counsel,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-8585526.00,-8585526.00
2014,General Government,County Counsel,County Counsel,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-8056190.00,-8056190.00
2013,General Government,County Counsel,County Counsel,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-7887823.00,-7887823.00
2013,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,625749.00,625749.00
2014,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,909497.00,956043.00
2015,General Government,County Counsel,County Counsel,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,978977.00,932031.00
2015,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1391890.00,1438836.00
2014,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1438836.00,1438836.00
2013,General Government,County Counsel,County Counsel,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1463836.00,1463836.00
2013,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10234083.00,10234083.00
2014,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10335158.00,10335158.00
2015,General Government,County Counsel,County Counsel,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11051704.00,11051704.00
2014,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000.00,25000.00
2013,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000.00,25000.00
2015,General Government,Countywide Expense,Countywide Expense,Other Charges,Other Charges,Total of Other Charges,25000.00,25000.00
2013,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3121663.00,3121663.00
2014,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3140871.00,3168202.00
2015,General Government,Countywide Expense,Countywide Expense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3253684.00,3253684.00
2015,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3661041.00,3774756.00
2014,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3775269.00,3775269.00
2013,General Government,Countywide Expense,Countywide Expense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3775269.00,3775269.00
2015,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1339685.00,1367750.00
2013,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1340912.00,1340912.00
2014,General Government,General Services Agency,General Services Agency,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1430815.00,1430815.00
2013,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3086591.00,3086591.00
2015,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3625274.00,3634470.00
2014,General Government,General Services Agency,General Services Agency,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4040917.00,4040917.00
2013,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9398298.00,9398298.00
2014,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9686371.00,9686371.00
2015,General Government,General Services Agency,General Services Agency,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10037436.00,10009371.00
2014,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-272095.00,-272095.00
2015,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-265000.00,-265000.00
2013,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-232918.00,-232918.00
2013,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-224448.00,-224448.00
2014,General Government,General Services Agency,General Services Agency,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-100000.00,-100000.00
2015,General Government,General Services Agency,GSA-Parking Facilities,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9000.00,-9000.00
2014,General Government,General Services Agency,GSA-Parking Facilities,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9000.00,-9000.00
2013,General Government,General Services Agency,GSA-Parking Facilities,Fixed Assets,Fixed Assets,Total of Fixed Assets,26400.00,26400.00
2013,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,391969.00,391969.00
2014,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,392338.00,392338.00
2015,General Government,General Services Agency,GSA-Parking Facilities,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,406133.00,406133.00
2013,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,648774.00,648774.00
2014,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,686567.00,686567.00
2015,General Government,General Services Agency,GSA-Parking Facilities,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,726790.00,727110.00
2013,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,900800.00,900800.00
2014,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1156100.00,1156100.00
2015,General Government,General Services Agency,GSA-Parking Facilities,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1156100.00,1156100.00
2014,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9553.00,9553.00
2015,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9680.00,9680.00
2013,General Government,General Services Agency,GSA-Veterans Buildings,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,12592.00,12592.00
2014,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,27800.00,27800.00
2015,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,27800.00,27800.00
2013,General Government,General Services Agency,GSA-Veterans Buildings,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,34000.00,34000.00
2013,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,590313.00,590313.00
2015,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,605084.00,605425.00
2014,General Government,General Services Agency,GSA-Veterans Buildings,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,629969.00,629969.00
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-157664.00,-157664.00
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-148678.00,-123678.00
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-37664.00,-37664.00
2013,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000.00,6000.00
2015,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000.00,6000.00
2014,General Government,Human Resource Services,Human Resource Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,6000.00,6000.00
2014,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1706507.00,1700670.00
2013,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1759169.00,1774079.00
2015,General Government,Human Resource Services,Human Resource Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1880185.00,1855185.00
2013,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2392228.00,2392228.00
2014,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2426108.00,2432212.00
2015,General Government,Human Resource Services,Human Resource Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2462708.00,2492199.00
2013,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9402016.00,9387106.00
2014,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,9610033.00,9615870.00
2015,General Government,Human Resource Services,Human Resource Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,10175842.00,10175842.00
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744.00,-155744.00
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744.00,-155744.00
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-155744.00,-155744.00
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-217899.00,-217899.00
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-113548.00,-113548.00
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-113548.00,-113548.00
2015,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1453312.00,-1453312.00
2014,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1092438.00,-1092438.00
2013,General Government,Human Resource Services,Human Resource Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1092438.00,-1092438.00
2013,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,112141.00,112141.00
2014,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,113371.00,113371.00
2015,General Government,Information Technology Department,CORPUS,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,119255.00,119255.00
2013,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173417.00,173417.00
2014,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,186930.00,186930.00
2015,General Government,Information Technology Department,CORPUS,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,199552.00,199552.00
2014,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2926783.00,2926783.00
2013,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2926981.00,2926981.00
2015,General Government,Information Technology Department,CORPUS,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3026790.00,3026861.00
2015,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,94402.00,94402.00
2014,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,95359.00,95359.00
2013,General Government,Public Works Agency,Building Inspection,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,104129.00,104129.00
2013,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,570268.00,570268.00
2014,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,579038.00,579038.00
2015,General Government,Public Works Agency,Building Inspection,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,579995.00,579995.00
2013,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584.00,2365584.00
2014,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584.00,2365584.00
2015,General Government,Public Works Agency,Building Inspection,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2365584.00,2365584.00
2015,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000.00,-20000.00
2013,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000.00,-20000.00
2014,General Government,Public Works Agency,Public Works Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-20000.00,-20000.00
2014,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,262000.00,262000.00
2013,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,265000.00,265000.00
2015,General Government,Public Works Agency,Public Works Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,426464.00,426464.00
2013,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1241527.00,1241527.00
2014,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1289527.00,1289527.00
2015,General Government,Public Works Agency,Public Works Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1367206.00,1367206.00
2013,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1435052.00,1435052.00
2014,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1445945.00,1445945.00
2015,General Government,Registrar of Voters,Registrar of Voters,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1537171.00,1559029.00
2013,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3764838.00,3764838.00
2014,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3799581.00,3798048.00
2015,General Government,Registrar of Voters,Registrar of Voters,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3901190.00,3901190.00
2014,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9658847.00,9660380.00
2013,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10593165.00,10593165.00
2015,General Government,Registrar of Voters,Registrar of Voters,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11735722.00,11735722.00
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000.00,-50000.00
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000.00,-50000.00
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-50000.00,-50000.00
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1988707.00,1988707.00
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2000583.00,2000583.00
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2010294.00,2010294.00
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2010790.00,2010790.00
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2045355.00,2046073.00
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2130222.00,2133522.00
2013,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5854477.00,5854477.00
2014,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5974891.00,5974891.00
2015,General Government,Treasurer-Tax Collector,Treasurer-Tax Collector,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6300504.00,6186789.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-161781.00,-161781.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-100000.00,-100000.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,831206.00,831206.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1453540.00,1211950.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,17352164.00,18093754.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,21332511.00,21849631.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,34040728.00,35018906.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,90674988.00,90674988.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,149638.00,149638.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,156880.00,156880.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2025950.00,2025950.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-3039582.00,-3039582.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2803675.00,-1214913.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-960434.00,-960434.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750.00,11750.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750.00,11750.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Fixed Assets,Fixed Assets,Total of Fixed Assets,11750.00,11750.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1283386.00,1283386.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1971627.00,1990113.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1983660.00,1983660.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,3187735.00,3187735.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,3251490.00,2273312.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5516354.00,5519773.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6048153.00,6048153.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6745386.00,6740764.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6890957.00,6710406.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8528635.00,8034157.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,33906535.00,32880418.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Other Charges,Other Charges,Total of Other Charges,108970967.00,108970967.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2283011.00,-2283011.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2203190.00,-2203190.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2073507.00,-2073507.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,398031.00,398031.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,412559.00,412559.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,518775.00,518775.00
2013,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1660948.00,1660948.00
2014,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1684415.00,1684415.00
2015,Health Care Services,Administration/Indigent Health/ICPC,HCSA Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1766474.00,1766474.00
2015,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,500175.00,500175.00
2013,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,592834.00,592834.00
2014,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,604496.00,604496.00
2014,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2122933.00,2167933.00
2013,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2569947.00,2569947.00
2015,Health Care Services,Behavioral Care Services,Behavioral Care Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2756267.00,1990456.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1947735.00,-1947735.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1851136.00,-1851136.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1729906.00,-1729906.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-400000.00,-400000.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,148740.00,148740.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,400000.00,400000.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,3553003.00,3553003.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,3714178.00,3714178.00
2013,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,8309607.00,8309607.00
2014,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9287964.00,9157301.00
2015,Health Care Services,Behavioral Care Services,HCSA-Behavioral Care,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9303656.00,9340567.00
